"COD_EMPRESA","NUM_PORTABILIDADE","COD_TIPSALDO","COD_INVERSION","COD_OBJETIVO","SEQ_MOVTO","TIP_LANCAMENTO","DATA_LANCAMENTO","VLR_HISTORICO","VLR_ATUALIZADO","VLR_CORRECAO","VLR_TAXA_SAIDA","DATA_INCLUSAO","INCLUIDO_POR","DATA_MODIFICACAO","MODIFICADO_POR","MG_REMESSA_LINHA","TIP_ENTIDADE_ORIGEM","VLR_PMP"
"500","026820000154502","1001","1202",1,"40","3",2016-12-20 00:00:00.000,37.58,65.94,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1110",1,"41","3",2017-08-28 00:00:00.000,50,81.49,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1137",1,"42","3",2017-08-28 00:00:00.000,50,81.49,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1175",1,"43","3",2017-08-28 00:00:00.000,50,81.49,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1202",1,"44","3",2017-08-28 00:00:00.000,50,81.49,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1110",1,"45","1",2022-03-03 00:00:00.000,17.98,23.83,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1137",1,"46","1",2022-03-03 00:00:00.000,17.98,23.83,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1175",1,"47","1",2022-03-03 00:00:00.000,17.98,23.83,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1202",1,"48","1",2022-03-03 00:00:00.000,17.98,23.83,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1110",1,"49","1",2022-05-03 00:00:00.000,17.98,23.42,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1137",1,"50","1",2022-05-03 00:00:00.000,17.98,23.42,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1175",1,"51","1",2022-05-03 00:00:00.000,17.98,23.42,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1202",1,"52","1",2022-05-03 00:00:00.000,17.98,23.42,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1110",1,"53","1",2023-07-03 00:00:00.000,19.79,22.29,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1137",1,"54","1",2023-07-03 00:00:00.000,19.79,22.29,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1175",1,"55","1",2023-07-03 00:00:00.000,19.79,22.29,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1202",1,"56","1",2023-07-03 00:00:00.000,19.79,22.29,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1110",1,"57","1",2023-12-01 00:00:00.000,20.42,21.74,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1137",1,"58","1",2023-12-01 00:00:00.000,20.42,21.74,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1175",1,"59","1",2023-12-01 00:00:00.000,20.42,21.74,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1202",1,"60","1",2023-12-01 00:00:00.000,20.41,21.72,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1110",1,"61","1",2024-01-03 00:00:00.000,20.42,21.53,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1137",1,"62","1",2024-01-03 00:00:00.000,20.42,21.53,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1175",1,"63","1",2024-01-03 00:00:00.000,20.42,21.53,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1202",1,"64","1",2024-01-03 00:00:00.000,20.41,21.54,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1110",1,"65","3",2008-05-02 00:00:00.000,7.57,442.09,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1137",1,"66","3",2008-05-02 00:00:00.000,7.57,442.09,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1175",1,"67","3",2008-05-02 00:00:00.000,7.57,442.09,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1202",1,"68","3",2008-05-02 00:00:00.000,7.55,442.08,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1110",1,"69","3",2009-07-31 00:00:00.000,7.88,460.31,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
"500","026820000154502","1001","1137",1,"70","3",2009-07-31 00:00:00.000,7.88,460.31,,,2024-07-01 16:04:54.000,KIPREVWEB,,,,,
